"auction_date","judgment_amount","address","city","state","zip"
"06/18/2024","$41,282.34","235 NW 48TH BLVD","GAINESVILLE","FL","32607"
"06/20/2024","$120,804.43","1340 SE 23RD AVE","GAINESVILLE","FL","32641"
"06/27/2024","$23,793.01","13971 SW 130TH AVE","ARCHER","FL","32618"
"06/27/2024","$454,696.11","6747 NW 34TH DR","GAINESVILLE","FL","32653"
"07/16/2024","$129,071.79","1610 NE 17TH PL","GAINESVILLE","FL","32609"
"06/25/2024","$412,742.96","2721 JENKS AVE","PANAMA CITY","FL","32405"
"06/27/2024","$58,433.00","12206 EDGEWOOD RD","FOUNTAIN","FL","32438"
"07/02/2024","$208,151.96","2911 AVON RD","PANAMA CITY","FL","32405"
"07/08/2024","$154,845.35","142 DOGWOOD WAY","PANAMA CITY","FL","32404"
"07/08/2024","$160,639.64","500 PALM BEACH DR","PANAMA CITY BEACH","FL","32413"
"07/08/2024","$191,417.39","736 PINE FOREST DR E","LYNN HAVEN","FL","32444"
"07/08/2024","$303,317.99","504 KENTUCKY AVE","LYNN HAVEN","FL","32444"
"07/09/2024","$156,912.03","318 GAY AVE S","PANAMA CITY","FL","32404"
"07/16/2024","$273,680.67","8116 CLUSTER RD","PANAMA CITY","FL","32404"
"07/17/2024","$209,471.74","1935 FRANKFORD AVE","PANAMA CITY","FL","32405"
"07/19/2024","$172,110.52","716 NEW YORK AVE","LYNN HAVEN","FL","32444"
"07/22/2024","$56,655.66","105 CEDAR BLUFF CIR S","SOUTHPORT","FL","32409"
"07/31/2024","$336,617.68","3318 AZALEA CIR","LYNN HAVEN","FL","32444"
"08/15/2024","$111,995.59","6508 PRIDGEN ST","PANAMA CITY","FL","32404"
"08/16/2024","$120,522.13","922 ARROW ST","PANAMA CITY","FL","32404"
"06/18/2024","$158,188.92","1000 SAINT CHARLES PL","PEMBROKE PINES","FL","33026"
"06/18/2024","$547,390.52","800 NW 48 TER","PLANTATION","FL","33317"
"06/18/2024","$336,374.94","4731 NW 11 ST","LAUDERHILL","FL","33313"
"06/18/2024","$1,320,966.38","11406 CANYON MAPLE BLVD","DAVIE","FL","33330"
"06/18/2024","$117,156.65","4770 NW 21 ST","LAUDERHILL","FL","33313"
"06/18/2024","$128,868.15","6200 S FALLS CIRCLE DR","LAUDERHILL","FL","33319"
"06/18/2024","$679,977.35","2930 HIBISCUS AVE","LAUDERDALE LAKES","FL","33311"
"06/18/2024","$195,953.50","7947 TAM O'SHANTER BLVD","NORTH LAUDERDALE","FL","33068"
"06/18/2024","$280,738.66","720 NW 23 TER","POMPANO BEACH","FL","33069"
"06/20/2024","$1,651,422.73","18320 SW 52 CT","SOUTHWEST RANCHES","FL","33331"
"06/20/2024","$516,660.09","380 SW 55 AVE","PLANTATION","FL","33317"
"06/20/2024","$422,501.55","6900 NW 16 CT","MARGATE","FL","33063"
"06/20/2024","$11,036.28","800 NW 72 TER","MARGATE","FL","33063"
"06/20/2024","$66,599.87","790 SW 64 TER","NORTH LAUDERDALE","FL","33068"
"06/20/2024","$75,988.49","215 SE 3 AVE","HALLANDALE BEACH","FL","33009"
"06/21/2024","$62,444.73","249 MALLORY CT","WESTON","FL","33326"
"06/25/2024","$111,992.82","8031 NW 47 CT","LAUDERHILL","FL","33351"
"06/25/2024","$555,171.99","3745 WOODFIELD CT","COCONUT CREEK","FL","33073"
