"auction_date","judgment_amount","address","city","state","zip"
"10/28/2025","$57,818.14","1815 NE 16TH WAY","GAINESVILLE","FL","32609"
"10/30/2025","$5,445.84","19175 NW 228TH WAY","HIGH SPRINGS","FL","32643"
"11/13/2025","$17,161.77","2905 SW ARCHER RD","GAINESVILLE","FL","32608"
"10/23/2025","$393,249.15","7688 SHADOW LAKE DR","PANAMA CITY BEACH","FL","32407"
"10/23/2025","$354,062.23","3906 NAPOLI RD","PANAMA CITY","FL","32405"
"10/24/2025","$381,998.07","219 SHOREVIEW DR S","PANAMA CITY","FL","32404"
"10/29/2025","$60,093.15","1002 9TH CT E","PANAMA CITY","FL","32401"
"10/30/2025","$112,231.04","2906 NADINE CT","PANAMA CITY","FL","32401"
"10/31/2025","$280,479.78","7305 PORT PLACE ST","SOUTHPORT","FL","32409"
"11/04/2025","$182,839.70","505 CARRIE LANE","LYNN HAVEN","FL","32444"
"11/06/2025","$138,001.80","20022 RIDGE RD","FOUNTAIN","FL","32438"
"11/10/2025","$136,992.80","5917 WALLACE RD","PANAMA CITY","FL","32404"
"11/10/2025","$338,950.36","2707 HWY 2321","SOUTHPORT","FL","32409"
"11/10/2025","$146,262.18","722 WILLIAMS AVE","PANAMA CITY","FL","32401"
"11/13/2025","$76,683.29","14401 FRONT BEACH RD 433","PANAMA CITY BEACH","FL","32413"
"11/13/2025","$123,289.12","4712 PARK BOULEVARD","PANAMA CITY","FL","32404"
"11/13/2025","$340,775.80","726 MILES DR","PANAMA CITY","FL","32404"
"11/19/2025","$154,133.25","1000 MCKENZIE AVE","PANAMA CITY","FL","32401"
"11/20/2025","$281,171.89","9900 THOMAS DR S 1708","PANAMA CITY BEACH","FL","32408"
"11/25/2025","$156,685.92","3117 22ND ST W","PANAMA CITY","FL","32405"
"11/25/2025","$418,924.10","315 HIDDEN ISLAND DR","PANAMA CITY BEACH","FL","32408"
"12/09/2025","$152,331.15","6507 WINONA ST","PANAMA CITY","FL","32404"
"12/10/2025","$311,301.23","6610 BOAT RACE RD","PANAMA CITY","FL","32404"
"12/10/2025","$242,530.67","6811 OAKENSHAW DR","YOUNGSTOWN","FL","32466"
"12/16/2025","$78,963.52","215 W 6TH STREET","PANAMA CITY","FL","32401"
"12/17/2025","$628,358.10","105 HERON TURN","PANAMA CITY BEACH","FL","32407"
"12/18/2025","$231,279.02","837 PLANTATION DR","PANAMA CITY, FL- 32404-8657","FL",""
"01/08/2026","$174,756.35","14701 FRONT BEACH RD 1127","PANAMA CITY BEACH","FL","32413"
"10/23/2025","$310,342.38","1750 NE 42 CT","POMPANO BEACH","FL","33064"
"10/23/2025","$249,316.03","3940 NW 34 AVE","LAUDERDALE LAKES","FL","33309"
