"auction_date","judgment_amount","address","city","state","zip"
"11/07/2024","$454,696.11","6747 NW 34TH DR","GAINESVILLE","FL","32653"
"11/07/2024","$122,816.10","608 SW 2ND ST","GAINESVILLE","FL","32601"
"11/07/2024","$90,708.15","3337 NW 25TH TER","GAINESVILLE","FL","32605"
"11/14/2024","$53,235.42","1122 NE 20TH AVE","GAINESVILLE","FL","32609"
"11/14/2024","$213,765.95","2727 NW 54TH AVE","GAINESVILLE","FL","32653"
"11/14/2024","$558,558.37","11205 W NEWBERRY RD","GAINESVILLE","FL","32606"
"11/14/2024","$93,862.66","214 SE 13TH PL","GAINESVILLE","FL","32601"
"11/04/2024","$412,742.96","2721 JENKS AVE","PANAMA CITY","FL","32405"
"11/04/2024","$270,316.85","3216 JOSIE ST","PANAMA CITY","FL","32404"
"11/04/2024","$184,494.60","8913 FIREBIRD LN","YOUNGSTOWN","FL","32466"
"11/06/2024","$127,490.69","410 VENETIAN WAY","PANAMA CITY","FL","32405"
"11/06/2024","$150,000.00","6807 FORSYTHE DR","PANAMA CITY","FL","32404"
"11/12/2024","$103,087.53","1809 FLOWER AVE","PANAMA CITY","FL","32405"
"11/18/2024","$45,244.74","ALEX DR","FOUNTAIN","FL","32438"
"11/20/2024","$165,675.61","939 KATHERINE AVE S","PANAMA CITY","FL","32404"
"12/09/2024","$425,911.91","468 EAGLE LAKE WAY","PANAMA CITY","FL","32404"
"12/09/2024","$5,625.78","100 LESLIE LN W","PANAMA CITY BEACH","FL","32407"
"12/09/2024","$94,408.95","2403 MINNESOTA AVE","LYNN HAVEN","FL","32444"
"12/11/2024","$350,464.61","430 ALBERT MEADOW LN","PANAMA CITY","FL","32404"
"12/19/2024","$170,769.53","121 WABASH AVE","PANAMA CITY","FL","32401"
"01/10/2025","$120,522.13","922 ARROW ST","PANAMA CITY","FL","32404"
"11/05/2024","$77,447.57","364 NW 3 ST","DEERFIELD BEACH","FL","33441"
"11/05/2024","$16,831.61","8504 NW 37 CT","COOPER CITY","FL","33024"
"11/05/2024","$120,179.60","3430 GALT OCEAN DR","FORT LAUDERDALE","FL","33308"
"11/05/2024","$1,371,347.09","2242 SE 10 ST","POMPANO BEACH","FL","33062"
"11/05/2024","$47,985.29","3140 S OCEAN DR","HALLANDALE BEACH","FL","33009"
"11/05/2024","$1,558,123.67","2500 WILTON DR","WILTON MANORS","FL","33305"
"11/05/2024","$763,994.69","1222 BAYVIEW DR","FORT LAUDERDALE","FL","33304"
"11/05/2024","$570,668.33","7841 NW 46 ST","LAUDERHILL","FL","33351"
"11/05/2024","$246,738.20","1110 REPUBLIC CT","DEERFIELD BEACH","FL","33442"
"11/05/2024","$255,348.86","5490 NW 94 TER","SUNRISE","FL","33351"
"11/06/2024","$177,722.72","3650 INVERRARY DR","LAUDERHILL","FL","33319"
"11/06/2024","$254,425.27","7201 NW 68 ST","TAMARAC","FL","33321"
"11/06/2024","$23,198.54","1845 VISTA WAY","MARGATE","FL","33063"
"11/06/2024","$295,363.13","7040 NW 21 CT","SUNRISE","FL","33313"
"11/06/2024","$965,202.24","4301 NW 48 AVE","LAUDERDALE LAKES","FL","33319"
"11/06/2024","$342,660.57","10750 NW 62 CT","PARKLAND","FL","33076"
"11/06/2024","$268,544.14","6690 NW 38 DR","LAUDERHILL","FL","33319"
"11/07/2024","$98,251.55","2700 CORAL SPRINGS DR","CORAL SPRINGS","FL","33065"
"11/07/2024","$134,851.12","3731 NE 16 TER","POMPANO BEACH","FL","33064"
"11/07/2024","$570,403.70","2830 NE 60 ST","FORT LAUDERDALE","FL","33308"
"11/07/2024","$285,913.30","6680 ARTHUR ST","HOLLYWOOD","FL","33024"
"11/07/2024","$245,922.45","1170 NW 72 TER","MARGATE","FL","33063"
"11/08/2024","$6,297.49","279 TILFORD M","DEERFIELD BEACH","FL","33442"
