auction_date,judgment_amount,address,city,state,zip,date_added
,"$10,252.88",6216 MACAW GLEN,LAKEWOOD RANCH,FL,34202,08/20/2022
,"$316,341.15",2249 17TH ST W,PALMETTO,FL,34221,08/02/2022
08/22/2022,"$893,926.60",10175 COLLINS AVE 808,BAL HARBOUR,FL,33154,08/02/2022
08/22/2022,"$1,161,735.32",7813 SW 194 TER,CUTLER BAY,FL,33157,08/02/2022
08/22/2022,"$159,433.51",86 CO HWY 1084,DEFUNIAK SPRINGS,FL,32433,08/02/2022
08/22/2022,"$53,513.29",17922 GOWAN RD,FOUNTAIN,FL,32438,08/02/2022
08/22/2022,"$1,011,956.89",19740 W SAINT ANDREWS DR,MIAMI,FL,33015,05/18/2022
08/22/2022,"$495,813.01",4481 SW 4 ST,MIAMI,FL,33134,08/02/2022
08/22/2022,"$265,994.31",11249 SW 169 ST V4831,MIAMI,FL,33157,05/18/2022
08/22/2022,"$742,083.26",9501 SW 38 ST,MIAMI,FL,33165,08/02/2022
08/22/2022,"$303,765.78",10875 NW 10 AVE,MIAMI,FL,33168,08/02/2022
08/22/2022,"$279,520.64",10805 NW 10 AVE,MIAMI,FL,33168,08/02/2022
08/22/2022,"$173,721.25",671 NE 195 ST 404E,MIAMI,FL,33179,08/02/2022
08/22/2022,"$115,559.63",1351 NE MIAMI GARDENS DR 1501E,MIAMI,FL,33179,08/02/2022
08/22/2022,"$386,296.57",14113 SW 149 PL,MIAMI,FL,33196,05/18/2022
08/22/2022,"$955,186.65",400 S POINTE DR 1206,MIAMI BEACH,FL,33139,08/02/2022
08/22/2022,"$313,041.84",20462 NW 10 AVE,MIAMI GARDENS,FL,33169,05/18/2022
08/22/2022,"$414,677.17",14406 NW 88 AVE,MIAMI LAKES,FL,33018,05/18/2022
08/22/2022,"$1,329,468.01",517 PALMETTO DR,MIAMI SPRINGS,FL,33166,06/25/2022
08/22/2022,"$266,423.60",1803 ORCHARDGROVE AVE,NEW PORT RICHEY,FL,34655,08/02/2022
08/22/2022,"$112,559.34",558SILVER COURSE CIR,OCALA,FL,34472,08/02/2022
08/22/2022,"$184,365.14",513SAPPHIRE LN,OCALA,FL,34472,08/02/2022
08/22/2022,"$322,843.87",3821 NW 187 ST,OPA LOCKA,FL,33055,08/09/2022
08/22/2022,"$359,208.23",2715 TRADEWINDS TRL,ORLANDO,FL,32805,06/25/2022
08/22/2022,"$21,385.16",972 E MICHIGAN ST UNIT A,ORLANDO,FL,32806,08/02/2022
08/22/2022,"$149,289.29",7710 EDEN PARK RD,ORLANDO,FL,32810,08/09/2022
08/22/2022,"$214,385.28",4519 LENOX BLVD,ORLANDO,FL,32811,08/02/2022
08/22/2022,"$281,725.80",4947 SOUTHFORK RANCH DR,ORLANDO,FL,32812,06/16/2022
08/22/2022,"$260,415.47",4610 SUMMERBROOK CT,ORLANDO,FL,32818,08/02/2022
08/22/2022,"$7,560.45",12116 BRUCETON WAY UNIT 104,ORLANDO,FL,32828,08/02/2022
08/22/2022,"$607,782.46",19825 QUINELLA ST,ORLANDO,FL,32833,08/02/2022
08/22/2022,"$201,651.30",1817 HIGHLAND RD,OSPREY,FL,34229,06/16/2022
08/22/2022,"$772,767.88",7721 SW 176 ST,PALMETTO BAY,FL,33157,08/02/2022
08/22/2022,"$237,500.08",741 COTTONWOOD CT,PANAMA CITY,FL,32404,06/14/2022
08/22/2022,"$15,468.51",1 BAR CT,PLACIDA,FL,33946,08/02/2022
08/22/2022,"$206,224.91",556 19TH ST,RUSKIN,FL,33570,08/02/2022
08/22/2022,"$192,028.13",8017 ALAMOSA WOOD AVE,RUSKIN,FL,33573,08/06/2022
08/22/2022,"$66,995.85",8509 SE 68 CT,TRENTON,FL,32693,08/09/2022
08/22/2022,"$54,455.41",416 SE 2 AVE,TRETON,FL,32693,08/02/2022
08/22/2022,"$754,974.76",3628 PEPPERVINE PLACE,WESLEY CHAPEL,FL,33543,08/02/2022
08/22/2022,"$209,008.18",1417 N AUSTRALIAN AVE,WEST PALM BEACH,FL,33401,05/18/2022
08/22/2022,"$135,078.73",37614 AARALYN ROAD,ZEPHYRHILLS,FL,33542-0000,08/02/2022
08/23/2022,"$256,122.20",1941 FRANCIS AVE,ATLANTIC BEACH,FL,32233,08/16/2022
08/23/2022,"$245,446.67",1724 HARBOR DR,CLEARWATER,FL,33755,08/02/2022
