"auction_type","auction_date","auction_time","sold_to","sold_amount","judgment_amount","assessed_value","plaintiff_max_bid","surplus_amount","case_number","parcel_id","address","city","state","zip"
"FORECLOSURE","11/06/2024","11:15 AM ET","3rd Party Bidder","$177,600.00","$74,125.13","$236,024.00","Hidden","$103,474.87","412022CA002217CAAXMA","1820500005","5310 16TH ST E","BRADENTON","FL","34203"
"FORECLOSURE","11/21/2024","11:28 AM ET","3rd Party Bidder","$218,600.00","$76,603.02","$218,639.00","$99,133.41","$141,996.98","412023CA001104CAAXMA","6121700006","5706 23RD ST W","BRADENTON","FL","34207"
"FORECLOSURE","12/11/2024","11:02 AM ET","3rd Party Bidder","$247,700.00","$327,845.04","$338,027.00","Hidden","$-80,145.04","412022CA003479CAAXMA","4974317457","3602 CAMBRIDGE DR W","BRADENTON","FL","34205"
"FORECLOSURE","01/08/2025","11:08 AM ET","3rd Party Bidder","$251,100.00","$221,952.85","$80,000.00","Hidden","$29,147.15","412022CA001963CAAXMA","2658400003","1011 16TH ST W","PALMETTO","FL","34221"
"FORECLOSURE","01/08/2025","11:25 AM ET","3rd Party Bidder","$915,300.00","$783,121.63","$1,012,949.00","$873,829.94","$132,178.37","412023CA001239CAAXMA","279801005","25250 SR 64 E","MYAKKA CITY","FL","34251"
"FORECLOSURE","01/08/2025","11:36 AM ET","3rd Party Bidder","$175,100.00","$167,322.46","$207,919.00","Hidden","$7,777.54","412024CA000547CAAXMA","2537600005","2111 1ST AVE E","PALMETTO","FL","34221"
"FORECLOSURE","01/28/2025","11:04 AM ET","3rd Party Bidder","$200,200.00","$132,480.31","$122,217.00","Hidden","$67,719.69","412023CA003253CAAXMA","2054123609","7192 83RD DR E","BRADENTON","FL","34201"
"FORECLOSURE","01/28/2025","11:06 AM ET","3rd Party Bidder","$285,000.00","$401,819.75","$409,458.00","Hidden","$-116,819.75","412024CA001017CAAXMA","604517759","6259 SPRINGMONT LOOP","PALMETTO","FL","34221"
"FORECLOSURE","11/07/2024","11:08 AM ET","3rd Party Bidder","$125,100.00","$122,816.10","$43,622.00","Hidden","$2,283.90","01 2023 CA 003783","12884-031-000","608 SW 2ND ST","GAINESVILLE","FL","32601"
"FORECLOSURE","11/07/2024","11:29 AM ET","3rd Party Bidder","$197,300.00","$90,708.15","$115,964.00","Hidden","$106,591.85","01 2023 CA 004296","06091-020-093","3337 NW 25TH TER","GAINESVILLE","FL","32605"
"FORECLOSURE","11/14/2024","11:06 AM ET","3rd Party Bidder","$120,100.00","$53,235.42","$96,907.00","Hidden","$66,864.58","01 2022 CA 004076","10607-026-000","1122 NE 20TH AVE","GAINESVILLE","FL","32609"
"FORECLOSURE","11/14/2024","11:13 AM ET","3rd Party Bidder","$37,000.00","$36,060.36","Not Found","$36,353.71","$939.64","01 2024 CA 000480","Property Appraiser","Not Found","Not Found","Not Found","Not Found"
