"auction_date","judgment_amount","address","city","state","zip"
"11/02/2023","$248,688.63","8030 NW 290TH AVE","ALACHUA","FL","32615"
"11/02/2023","$224,935.81","3609 NW 40TH ST","GAINESVILLE","FL","32606"
"11/07/2023","$186,595.44","7101 NW 218TH AVE","ALACHUA","FL","32615"
"11/07/2023","$328,772.07","6815 NW 105TH AVE","ALACHUA","FL","32615"
"11/07/2023","$120,075.96","901 NW 4TH PL","GAINESVILLE","FL","32601"
"11/09/2023","$541,307.10","6319 SW 37TH WAY","GAINESVILLE","FL","32606"
"11/09/2023","$113,166.14","327 NW 8TH ST","GAINESVILLE","FL","32601"
"11/09/2023","$261,749.63","1612 NW 19TH CIR","GAINESVILLE","FL","32605"
"11/14/2023","$165,693.86","1045 SE 19TH ST","GAINESVILLE","FL","32641"
"11/14/2023","$306,304.76","3002 NW 31ST TER","GAINESVILLE","FL","32605"
"11/14/2023","$461,338.70","5791 NW STATE RD 45","NEWBERRY","FL","32669"
"11/16/2023","$135,787.45","43 NE 46TH TER","GAINESVILLE","FL","32641"
"11/16/2023","$132,267.81","10101 NW 4TH PL","GAINESVILLE","FL","32607"
"11/16/2023","$95,607.91","5610 NW 31ST TER","GAINESVILLE","FL","32653"
"11/16/2023","$284,225.50","12124 SW 99TH AVE","GAINESVILLE","FL","32608"
"11/16/2023","$13,887.70","10318PALMETTO BLVD","ALACHUA","FL","32615"
"11/02/2023","$226,883.06","4726 BAY POINT RD A203","PANAMA CITY BEACH","FL","32408"
"11/06/2023","$195,789.76","319 35TH CT W","PANAMA CITY","FL","32405"
"11/06/2023","$86,664.18","8729 BAYHEAD CT E","YOUNGSTOWN","FL","32466"
"11/06/2023","$157,449.95","5200 HICKORY ST","PANAMA CITY","FL","32404"
"11/06/2023","$307,362.36","6301 ELM ST","PANAMA CITY BEACH","FL","32408"
"11/06/2023","$71,452.19","4910 ALAMEDA ST","PANAMA CITY","FL","32404"
"11/06/2023","$175,253.60","9850 THOMAS DR 1011W","PANAMA CITY BEACH","FL","32408"
"11/06/2023","$72,780.13","414 SANDERS LN","PANAMA CITY","FL","32401"
"11/07/2023","$107,054.75","1503 IOWA AVE","LYNN HAVEN","FL","32444"
"11/13/2023","$72,798.74","429 MACARTHUR AVE S","PANAMA CITY","FL","32401"
"11/14/2023","$135,179.85","310 PRUDENCE LN","PANAMA CITY BEACH","FL","32408"
"11/16/2023","$78,146.22","3533 HARRISON AVE","PANAMA CITY","FL","32405"
"11/21/2023","$737,174.34","11324 POSTON RD","PANAMA CITY","FL","32404"
"11/21/2023","$123,186.12","1405 13TH ST W","PANAMA CITY","FL","32401"
