"auction_date","judgment_amount","address","city","state","zip"
"11/13/2025","$17,161.77","2905 SW ARCHER RD","GAINESVILLE","FL","32608"
"11/18/2025","$195,790.66","526 NW 3RD ST","GAINESVILLE","FL","32601"
"12/04/2025","$45,759.50","7200 SW 8TH AVE","GAINESVILLE","FL","32607"
"10/31/2025","$280,479.78","7305 PORT PLACE ST","SOUTHPORT","FL","32409"
"11/04/2025","$182,839.70","505 CARRIE LANE","LYNN HAVEN","FL","32444"
"11/06/2025","$138,001.80","20022 RIDGE RD","FOUNTAIN","FL","32438"
"11/10/2025","$136,992.80","5917 WALLACE RD","PANAMA CITY","FL","32404"
"11/10/2025","$338,950.36","2707 HWY 2321","SOUTHPORT","FL","32409"
"11/10/2025","$146,262.18","722 WILLIAMS AVE","PANAMA CITY","FL","32401"
"11/13/2025","$76,683.29","14401 FRONT BEACH RD 433","PANAMA CITY BEACH","FL","32413"
"11/13/2025","$123,289.12","4712 PARK BOULEVARD","PANAMA CITY","FL","32404"
"11/13/2025","$340,775.80","726 MILES DR","PANAMA CITY","FL","32404"
"11/19/2025","$154,133.25","1000 MCKENZIE AVE","PANAMA CITY","FL","32401"
"11/25/2025","$713,834.53","1135 NORTH BAY DR","LYNN HAVEN","FL","32444"
"11/25/2025","$156,685.92","3117 22ND ST W","PANAMA CITY","FL","32405"
"11/25/2025","$92,720.61","8823 SEMINOLE ST","YOUNGSTOWN","FL","32466"
"11/25/2025","$418,924.10","315 HIDDEN ISLAND DR","PANAMA CITY BEACH","FL","32408"
"12/09/2025","$152,331.15","6507 WINONA ST","PANAMA CITY","FL","32404"
"12/10/2025","$311,301.23","6610 BOAT RACE RD","PANAMA CITY","FL","32404"
"12/10/2025","$242,530.67","6811 OAKENSHAW DR","YOUNGSTOWN","FL","32466"
"12/15/2025","$472,880.15","9900 HWY 2301","YOUNGSTOWN","FL","32466"
"12/16/2025","$78,963.52","215 W 6TH STREET","PANAMA CITY","FL","32401"
"12/17/2025","$628,358.10","105 HERON TURN","PANAMA CITY BEACH","FL","32407"
"12/18/2025","$231,279.02","837 PLANTATION DR","PANAMA CITY, FL- 32404-8657","FL",""
"12/18/2025","$10,070.99","1012 BREEZE CT","PANAMA CITY","FL","32404"
"01/08/2026","$174,756.35","14701 FRONT BEACH RD 1127","PANAMA CITY BEACH","FL","32413"
"01/15/2026","$307,105.32","243 WOODLAWN CT","PANAMA CITY BEACH","FL","32407"
"10/30/2025","$306,023.79","7111 NW 68 AVE","TAMARAC","FL","33321"
"10/30/2025","$81,636.85","5770 SW 38 CT","DAVIE","FL","33314"
"10/31/2025","$10,840.66","17245 NW 7 ST","PEMBROKE PINES","FL","33029"
"11/04/2025","$1,375,562.78","19148 N GARDENIA AVE","WESTON","FL","33332"
"11/04/2025","$342,206.88","8520 NW 10 ST","PEMBROKE PINES","FL","33024"
"11/04/2025","$179,195.49","9490 NW 20 PL","SUNRISE","FL","33322"
"11/04/2025","$1,484,563.95","1202 NW 137 AVE","PEMBROKE PINES","FL","33028"
"11/04/2025","$147,825.01","5530 NW 44 ST 402C","LAUDERHILL","FL","33319"
"11/04/2025","$146,595.88","3698 NW 39 ST","LAUDERDALE LAKES","FL","33309"
"11/04/2025","$12,204.43","398 TILFORD S","DEERFIELD BEACH","FL","33442"
"11/04/2025","$16,560.61","4121 CAMBRIDGE F","DEERFIELD BEACH","FL","33442"
"11/04/2025","$58,696.08","3241 SW 192 AVE","MIRAMAR","FL","33029"
"11/05/2025","$22,038.61","5688 NW 108 TER","CORAL SPRINGS","FL","33076"
"11/05/2025","$375,554.49","1200 SW 52 AVE","NORTH LAUDERDALE","FL","33068"
"11/05/2025","$181,889.67","733 NW 15 TER","FORT LAUDERDALE","FL","33311"
"11/05/2025","$317,417.14","2661 LAGUNA WAY","MIRAMAR","FL","33025"
"11/05/2025","$185,314.38","8015 SW 6 ST","NORTH LAUDERDALE","FL","33068"
"11/05/2025","$403,784.54","777 N OCEAN DR","HOLLYWOOD","FL","33019"
"11/05/2025","$374,181.56","2831 NW 111 AVE","SUNRISE","FL","33322"
"11/05/2025","$40,539.05","7210 LAKE CIRCLE DR","MARGATE","FL","33063"
"11/05/2025","$602,022.66","4128 SW 183 AVE","MIRAMAR","FL","33029"
"11/05/2025","$15,357.72","11040 BAILEY LANE","TAMARAC","FL","33321"
"11/06/2025","$338,130.70","516 N LUNA CT","HOLLYWOOD","FL","33021"
"11/06/2025","$920,651.82","1855 SW 101 AVE","DAVIE","FL","33324"
"11/06/2025","$167,039.95","2040 NW 81 AVE UNIT 122","PEMBROKE PINES","FL","33024"
