"auction_type","auction_date","auction_time","sold_to","sold_amount","judgment_amount","assessed_value","plaintiff_max_bid","surplus_amount","case_number","parcel_id","address","city","state","zip"
"FORECLOSURE","09/18/2024","11:04 AM ET","3rd Party Bidder","$288,300.00","$425,000.00","$393,733.00","Hidden","-136700","412023CA004038CAAXMA","740902859","8243 47TH STREET CIR E","PALMETTO","FL","34221"
"FORECLOSURE","09/19/2024","11:03 AM ET","3rd Party Bidder","$155,500.00","$266,762.54","$173,696.00","Hidden","-111262.54","412018CA005898CAAXMA","2051761050","6211 TIMBER LAKE DR UNIT B8","SARASOTA","FL","34243"
"FORECLOSURE","09/12/2024","11:25 AM ET","3rd Party Bidder","$466,100.00","$191,145.64","Not Found","Hidden","274954.36","01 2023 CA 004859","Property Appraiser","2039 NW 3RD AVE","GAINESVILLE","FL","32603"
"FORECLOSURE","09/05/2024","11:10 AM CT","3rd Party Bidder","$112,600.00","$122,361.05","$93,933.00","Hidden","-9761.05","22001257CA","31429-004-000","5408 LAGOON WAY 5","PANAMA CITY BEACH","FL","32408"
"FORECLOSURE","09/10/2024","11:05 AM CT","3rd Party Bidder","$220,100.00","$189,177.38","$158,819.00","Hidden","30922.62","23001166CA","11004-040-000","1312 RHODE ISLAND AVE","LYNN HAVEN","FL","32444"
"FORECLOSURE","09/11/2024","11:03 AM CT","3rd Party Bidder","$112,800.00","$155,744.08","$83,183.00","Hidden","-42944.08","22000888CA","29315-000-000","1705 DRAKE AVE","PANAMA CITY","FL","32405"
"FORECLOSURE","09/04/2024","10:28 AM ET","3rd Party Bidder","$230,100.00","$96,262.28","Not Found","Hidden","133837.72","CACE-23-020621","494217050820","2709 NW 54 ST","Not Found","Not Found","Not Found"
"FORECLOSURE","09/05/2024","10:03 AM ET","3rd Party Bidder","$390,100.00","$434,290.79","Not Found","$390,000.00","-44190.79","CACE-18-012823","514129111310","9984 NANDINA ST","Not Found","Not Found","Not Found"
"FORECLOSURE","09/06/2024","10:02 AM ET","3rd Party Bidder","$75,100.00","$12,098.45","Not Found","$12,098.45","63001.55","COCE-24-005010","484231130380","842 BANKS RD","Not Found","Not Found","Not Found"
"FORECLOSURE","09/06/2024","10:06 AM ET","3rd Party Bidder","$65,100.00","$9,811.03","Not Found","$9,811.03","55288.97","COCE-24-021024","484202CB0180","138 FARNHAM F","Not Found","Not Found","Not Found"
"FORECLOSURE","09/06/2024","10:09 AM ET","3rd Party Bidder","$43,000.00","$6,996.10","Not Found","$7,806.17","36003.9","COCE-24-023902","494230AG0370","2811 SOMERSET DR","Not Found","Not Found","Not Found"
"FORECLOSURE","09/11/2024","10:05 AM ET","3rd Party Bidder","$238,600.00","$273,344.71","Not Found","Hidden","-34744.71","CACE-22-003511","484126030610","7005 NW 11 ST","Not Found","Not Found","Not Found"
"FORECLOSURE","09/11/2024","10:07 AM ET","3rd Party Bidder","$142,300.00","$140,569.23","Not Found","Hidden","1730.76999999999","CACE-24-005483","494102201310","1387 SUSSEX DR","Not Found","Not Found","Not Found"
"FORECLOSURE","09/12/2024","10:05 AM ET","3rd Party Bidder","$530,100.00","$320,264.72","Not Found","Hidden","209835.28","CACE-14-023765","504105272490","9525 NW 9 CT","Not Found","Not Found","Not Found"
"FORECLOSURE","09/17/2024","10:03 AM ET","3rd Party Bidder","$427,600.00","$259,620.36","Not Found","Hidden","167979.64","CACE-09-047946","504101150090","4330 NW 7 CT","Not Found","Not Found","Not Found"
"FORECLOSURE","09/17/2024","10:37 AM ET","3rd Party Bidder","$189,400.00","$86,215.56","Not Found","Hidden","103184.44","CACE-18-015052","484223180180","2920 NW 2 AVE","Not Found","Not Found","Not Found"
"FORECLOSURE","09/12/2024","11:09 AM ET","3rd Party Bidder","$160,000.00","$96,612.43","Not Found","Not Found","63387.57","23001687CA","Property Appraiser","488 N SPRING LAKE BLVD NW","PORT CHARLOTTE","FL","33953"
"FORECLOSURE","09/05/2024","10:02 AM ET","3rd Party Bidder","$171,500.00","$173,170.49","$184,103.00","Hidden","-1670.48999999999","2021 CA 000618 A","1565081","1 WILD OLIVE CT","HOMOSASSA","FL","34446"
"FORECLOSURE","09/19/2024","10:02 AM ET","3rd Party Bidder","$378,600.00","$369,413.21","$374,480.00","Hidden","9186.78999999998","2022 CA 000372 A","3221587","13347 S OLD JONES RD","FLORAL CITY","FL","34436"
"FORECLOSURE","09/19/2024","10:05 AM ET","3rd Party Bidder","$152,300.00","$149,822.06","$110,738.00","Hidden","2477.94","2022 CA 000467 A","2415126","3800 S KINDNESS TER","HOMOSASSA","FL","34448"
"FORECLOSURE","09/05/2024","10:27 AM ET","3rd Party Bidder","$135,100.00","$104,853.53","$63,030.00","Hidden","30246.47","2023CA000065","42-04-26-013230-000-00","2795 ROBINETTE DR","ORANGE PARK","FL","32073"
"FORECLOSURE","09/03/2024","11:12 AM ET","3rd Party Bidder","$60,100.00","$16,886.63","$211,800.00","$16,886.63","43213.37","16-2023-CC-012356-XXXX-MA","167734-1995","13810 N SUTTON PARK DR 823","JACKSONVILLE","FL","32224"
"FORECLOSURE","09/03/2024","11:34 AM ET","3rd Party Bidder","$121,200.00","$68,750.07","$55,792.00","$71,453.98","52449.93","16-2024-CA-001197-AXXX-MA","013092-0162","8440 MCGIRTS VILLAGE LN","JACKSONVILLE","FL","32210"
"FORECLOSURE","09/03/2024","11:47 AM ET","3rd Party Bidder","$79,100.00","$56,077.07","$88,836.00","Hidden","23022.93","16-2024-CC-003659-AXXX-MA","030290-0104","5979 MARTIN LUTHER KING DR","JACKSONVILLE","FL","32219"
"FORECLOSURE","09/04/2024","11:03 AM ET","3rd Party Bidder","$470,100.00","$269,694.11","$358,404.00","Hidden","200405.89","16-2020-CA-000052-XXXX-MA","160281-6840","12626 N MISSION HILLS CIR","JACKSONVILLE","FL","32225"
