"auction_date","judgment_amount","address","city","state","zip"
"07/24/2023","$7,325.28","7226 NW 121ST AVE","ALACHUA","FL","32615"
"07/25/2023","$35,778.50","1324 SE 2ND AVE","GAINESVILLE","FL","32641"
"07/27/2023","$55,119.32","7412 SE 225TH WAY","HAWTHORNE","FL","32640"
"07/27/2023","$158,200.94","8518 SW 122 ST","GAINESVILLE","FL","32608"
"08/01/2023","$135,787.45","43 NE 46TH TER 3","GAINESVILLE","FL","32641"
"08/03/2023","$119,609.15","12826 NE 1ST PL","GAINESVILLE","FL","32641"
"08/03/2023","$106,721.94","115 SE 47TH ST","GAINESVILLE","FL","32641"
"08/08/2023","$93,776.17","20308 NW COUNTY RD 2054","ALACHUA","FL","32615"
"08/08/2023","$220,976.84","7777 NW 20TH DR","GAINESVILLE","FL","32609"
"08/08/2023","$58,647.09","14232 NE 150TH AVE","WALDO","FL","32694"
"08/10/2023","$27,219.11","7603 SW 51ST PL","GAINESVILLE","FL","32608"
"08/17/2023","$221,104.16","5021 W UNIVERSITY AVE","GAINESVILLE","FL","32607"
"07/24/2023","$42,425.21","20311 SWEETWATER BRANCH RD","FOUNTAIN","FL","32438"
"07/24/2023","$99,590.58","5808 LOIS ST","PANAMA CITY","FL","32404"
"07/27/2023","$381,998.07","219 SHOREVIEW DR S","PANAMA CITY","FL","32404"
"07/27/2023","$218,689.58","1002 9TH ST W","PANAMA CITY","FL","32401"
"07/28/2023","$322,142.12","328 LIDDON PL","LYNN HAVEN","FL","32444"
"07/31/2023","$48,309.98","1613 7TH ST E","PANAMA CITY","FL","32401"
"08/01/2023","$26,424.66","3947 INDIAN SPRINGS RD","PANAMA CITY","FL","32404"
"08/01/2023","$97,251.66","11600 SCOTT RD","FOUNTAIN","FL","32438"
"08/02/2023","$282,797.16","17462 FRONT BEACH RD 38 A","PANAMA CITY BEACH","FL","32413"
"08/07/2023","$447,445.87","701 ISLAND CT","PANAMA CITY","FL","32404"
"08/07/2023","$151,194.32","12510 STEEPLECHASE DRIVE","PANAMA CITY","FL","32404"
"08/07/2023","$419,620.95","1744 MALLARD DR","PANAMA CITY","FL","32404"
"08/08/2023","$180,097.27","918 VIRGINIA AVE 1/2","LYNN HAVEN","FL","32444"
