"auction_date","auction_time","sold_to","sold_amount","opening_bid","assessed_value","surplus_amount","case_number","certificate_number","parcel_id","address","city","state","zip"
"07/17/2024","09:02 AM ET","3rd Party Bidder","$10,100.00","$2,606.30","$3,115.00","$7,493.70","2024-1167TD","09384-2020","053037-0000","923 W 12TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","09:04 AM ET","3rd Party Bidder","$8,300.00","$2,730.76","$3,270.00","$5,569.24","2024-1168TD","09388-2020","053047-0000","W 11TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","09:10 AM ET","3rd Party Bidder","$12,200.00","$1,711.88","$6,897.00","$10,488.12","2024-1194TD","03306-2021","024273-0000","ORIOLE ST","JACKSONVILLE","FL","32208"
"07/17/2024","09:15 AM ET","3rd Party Bidder","$12,500.00","$1,365.11","$4,864.00","$11,134.89","2024-1195TD","03187-2021","023002-0000","5827 DOEBOY ST","JACKSONVILLE","FL","32208"
"07/17/2024","09:34 AM ET","3rd Party Bidder","$57,100.00","$14,666.42","$24,730.00","$42,433.58","2024-1198TD","17575-2021","147354-0000","4540 CAMBRIA ST","JACKSONVILLE","FL","32207"
"07/17/2024","09:02 AM ET","3rd Party Bidder","$10,100.00","$2,606.30","$3,115.00","$7,493.70","2024-1167TD","09384-2020","053037-0000","923 W 12TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","09:04 AM ET","3rd Party Bidder","$8,300.00","$2,730.76","$3,270.00","$5,569.24","2024-1168TD","09388-2020","053047-0000","W 11TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","09:10 AM ET","3rd Party Bidder","$12,200.00","$1,711.88","$6,897.00","$10,488.12","2024-1194TD","03306-2021","024273-0000","ORIOLE ST","JACKSONVILLE","FL","32208"
"07/17/2024","09:15 AM ET","3rd Party Bidder","$12,500.00","$1,365.11","$4,864.00","$11,134.89","2024-1195TD","03187-2021","023002-0000","5827 DOEBOY ST","JACKSONVILLE","FL","32208"
"07/17/2024","09:34 AM ET","3rd Party Bidder","$57,100.00","$14,666.42","$24,730.00","$42,433.58","2024-1198TD","17575-2021","147354-0000","4540 CAMBRIA ST","JACKSONVILLE","FL","32207"
"07/17/2024","09:36 AM ET","3rd Party Bidder","$13,100.00","$1,742.31","$29,700.00","$11,357.69","2024-1210TD","11304-2022","107700-0000","W 1ST ST","JACKSONVILLE","FL","32218"
"07/31/2024","09:14 AM ET","3rd Party Bidder","$57,100.00","$1,321.10","$72,806.00","$55,778.90","2024-1220TD","04834-2022","037969-0000","4713 PORTSMOUTH AVE","JACKSONVILLE","FL","32208"
"08/14/2024","09:07 AM ET","3rd Party Bidder","$70,100.00","$4,181.17","$56,062.00","$65,918.83","2024-1247TD","07166-2022","053687-0000","1176 W 13TH ST","JACKSONVILLE","FL","32209"
"08/14/2024","09:07 AM ET","3rd Party Bidder","$70,100.00","$4,181.17","$56,062.00","$65,918.83","2024-1247TD","07166-2022","053687-0000","1176 W 13TH ST","JACKSONVILLE","FL","32209"
"08/14/2024","10:42 AM ET","3rd Party Bidder","$29,700.00","$1,904.56","$19,580.00","$27,795.44","2024-1336TD","02969-2022","022335-0000","PATTERSON AVE","JACKSONVILLE","FL","32219"
"08/14/2024","10:46 AM ET","3rd Party Bidder","$7,100.00","$1,882.68","$220.00","$5,217.32","2024-1337TD","03786-2022","029083-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:49 AM ET","3rd Party Bidder","$7,400.00","$1,897.11","$195.00","$5,502.89","2024-1338TD","03787-2022","029084-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:51 AM ET","3rd Party Bidder","$3,300.00","$1,577.58","$11,253.00","$1,722.42","2024-1340TD","11663-2022","111110-0000","EVRGREEN AVE","JACKSONVILLE","FL","32208"
"08/14/2024","10:59 AM ET","3rd Party Bidder","$17,200.00","$1,461.16","$8,482.00","$15,738.84","2024-1341TD","02840-2022","021563-0050","W RAILROAD AVE","JACKSONVILLE","FL","32219"
"08/14/2024","11:11 AM ET","3rd Party Bidder","$8,700.00","$2,203.04","$9,099.00","$6,496.96","2024-1345TD","03574-2022","027769-0010","3630 MCMILLAN AVE","JACKSONVILLE","FL","32208"
