"auction_date","opening_bid","address","city","state","zip"
"08/26/2025","$15,941.58","8215 SW 57TH PL","GAINESVILLE","FL","32608"
"09/16/2025","$10,895.69","1105 NE 11TH ST","GAINESVILLE","FL","32601"
"08/26/2025","$11,161.86","1119 EAST WATER OAK BND","PANAMA CITY BEACH","FL","32413"
"09/09/2025","$4,608.57","519 7TH CT E","PANAMA CITY","FL","32401"
"09/09/2025","$3,734.41","112 HARLEM AVE","PANAMA CITY","FL","32401"
"09/09/2025","$4,840.78","4902 MEADOW ST","PANAMA CITY","FL","32404"
"09/09/2025","$13,771.44","2102 BRIAWOOD CIR","PANAMA CITY","FL","32405"
"09/09/2025","$9,479.59","4726 BAY POINT RD C224","PANAMA CITY BEACH","FL","32408"
"09/16/2025","$9,035.40","245 16TH STREET","PANAMA CITY BEACH","FL","32413"
"09/30/2025","$126,039.98","800 15TH STREET","MEXICO BEACH","FL","32456"
"09/30/2025","$5,187.28","7515 CHIPEWA ST","PANAMA CITY","FL","32404"
"09/30/2025","$6,375.13","2038 BALLPARK RD","SOUTHPORT, FL- 32409-1727","FL",""
"09/30/2025","$3,512.76","2414 ROLLINS AVE","PANAMA CITY","FL","32405"
"09/30/2025","$24,477.76","1325 12TH ST W C-2","PANAMA CITY","FL","32401"
"09/30/2025","$9,147.20","835 JENKS AVE","PANAMA CITY","FL","32401"
"09/30/2025","$13,231.78","338 BONITA N","PANAMA CITY","FL","32401"
"09/30/2025","$18,552.29","4535 E HWY 98 BUS","PANAMA CITY","FL","32404"
"09/30/2025","$13,385.32","520 RICHARD JACKSON BLVD #1910","PANAMA CITY BEACH","FL","32407"
"09/30/2025","$18,899.06","9812 BEACH BLVD UNIT D","PANAMA CITY BEACH","FL","32408"
"10/07/2025","$9,637.76","6205 THOMAS DR 1F","PANAMA CITY","FL","32408"
"10/07/2025","$6,337.51","613 GARDENIA ST","PANAMA CITY BEACH","FL","32407"
"10/21/2025","$53,406.04","4339 HUCKLEBERRY LN","SOUTHPORT","FL","32409"
"10/21/2025","$1,803.48","4511 TARA LANE","PANAMA CITY","FL","32404"
