"auction_date","opening_bid","address","city","state","zip"
"09/09/2025","$9,479.59","4726 BAY POINT RD C224","PANAMA CITY BEACH","FL","32408"
"09/30/2025","$126,039.98","800 15TH STREET","MEXICO BEACH","FL","32456"
"09/30/2025","$5,187.28","7515 CHIPEWA ST","PANAMA CITY","FL","32404"
"09/30/2025","$6,375.13","2038 BALLPARK RD","SOUTHPORT, FL- 32409-1727","FL",""
"09/30/2025","$3,512.76","2414 ROLLINS AVE","PANAMA CITY","FL","32405"
"09/30/2025","$9,147.20","835 JENKS AVE","PANAMA CITY","FL","32401"
"09/30/2025","$13,231.78","338 BONITA N","PANAMA CITY","FL","32401"
"09/30/2025","$18,552.29","4535 E HWY 98 BUS","PANAMA CITY","FL","32404"
"09/30/2025","$13,385.32","520 RICHARD JACKSON BLVD #1910","PANAMA CITY BEACH","FL","32407"
"10/07/2025","$9,637.76","6205 THOMAS DR 1F","PANAMA CITY","FL","32408"
"10/07/2025","$6,337.51","613 GARDENIA ST","PANAMA CITY BEACH","FL","32407"
"10/21/2025","$1,803.48","4511 TARA LANE","PANAMA CITY","FL","32404"
"10/21/2025","$5,044.27","3807 RAIN FOREST RD","PANAMA CITY","FL","32404"
"10/21/2025","$6,022.70","3906 WAVE AVE","PANAMA CITY","FL","32404"
"10/21/2025","$4,764.05","2420 E 2ND PLZ","PANAMA CITY","FL","32401"
"10/21/2025","$7,474.58","4117 W 20TH CT","PANAMA CITY","FL","32405"
"10/21/2025","$6,435.23","8129 SUNSET AVE","PANAMA CITY BEACH","FL","32408"
"10/21/2025","$9,017.41","409 BETH ST","PANAMA CITY BEACH","FL","32407"
"10/28/2025","$2,892.57","9200 HWY 2301","YOUNGSTOWN","FL","32466"
"10/28/2025","$46,883.51","882 E BAYHEAD CT","YOUNGSTOWN","FL","32466"
"10/28/2025","$1,812.05","4507 TARA LN","PANAMA CITY","FL","32404"
"10/28/2025","$5,579.66","7638 SWEETBRIAR RD","PANAMA CITY","FL","32404"
"10/28/2025","$2,397.05","5538 WHITFIELD RD","PANAMA CITY","FL","32404"
"10/28/2025","$3,057.07","407 HILL DR","PANAMA CITY","FL","32404"
"10/28/2025","$9,134.43","225 HAMILTON AVE","PANAMA CITY","FL","32401"
"11/04/2025","$5,924.73","20408 ROSS RD","FOUNTAIN","FL","32438"
"11/04/2025","$34,738.80","8811 CHEROKEE ST","YOUNGSTOWN","FL","32466"
"11/04/2025","$9,757.67","11131 SEAMANS LN","PANAMA CITY","FL","32404"
"11/04/2025","$4,698.32","7307 HWY 77","SOUTHPORT","FL","32409"
"11/04/2025","$7,364.99","930 PIERSON W","LYNN HAVEN","FL","32444"
"11/04/2025","$5,924.92","4521 HWY 98 BUS E","PANAMA CITY","FL","32404"
"09/17/2025","$64,895.89","640 SHADY LN","KEYSTONE HEIGHTS","FL","32656"
"10/01/2025","$2,485.78","7213 PRINCETON ST","KEYSTONE HEIGHTS","FL","32656"
"10/01/2025","$10,282.59","5525 DARWOOD ST","MELROSE, FL- 32666-8943","FL",""
"10/01/2025","$6,302.82","933 HARRISON AVE","ORANGE PARK","FL","32065"
"11/05/2025","$3,065.28","2621 HANDS DR","GREEN COVE SPRINGS","FL","32043"
"11/05/2025","$1,395.32","0 KINDLEWOOD DR","MIDDLEBURG","FL","32068"
"11/05/2025","$1,768.20","5696 QUAIL LN","KEYSTONE HEIGHTS","FL","32656"
"11/05/2025","$1,336.62","0 KINDLEWOOD DR","MIDDLEBURG","FL","32068"
"11/19/2025","$1,206.00","5773 W OVERLOOK DR","KEYSTONE HEIGHTS","FL","32656"
"11/19/2025","$2,994.33","7017 RIDGE TRAIL","KEYSTONE HEIGHTS","FL","32656"
"11/19/2025","$2,172.62","0 DETTA CT","KEYSTONE HEIGHTS","FL","32656"
"11/19/2025","$1,995.77","0 KINDLEWOOD DR","MIDDLEBURG","FL","32068"
"11/19/2025","$3,059.02","1785 SPARROW CT","MIDDLEBURG","FL","32068"
"12/03/2025","$98,351.42","1984 RED BUG ALY","MIDDLEBURG","FL","32068"
"12/03/2025","$37,695.13","2493 HIBISCUS AVE","MIDDLEBURG","FL","32068"
"12/03/2025","$1,543.37","6211 HARVARD AVE","KEYSTONE HEIGHTS","FL","32656"
"12/03/2025","$1,400.33","7189 ROSEMONT ST","KEYSTONE HEIGHTS","FL","32656"
"12/17/2025","$19,177.39","468 TAYLOR AVE","ORANGE PARK","FL","32065"
"12/17/2025","$5,174.99","5160 COUNTY ROAD 218","MIDDLEBURG","FL","32068"
"12/17/2025","$926.47","0 LEHIGH DR","KEYSTONE HEIGHTS","FL","32656"
"12/17/2025","$1,334.02","6050 LEHIGH CIR","KEYSTONE HEIGHTS","FL","32656"
"12/17/2025","$1,620.71","6319 REED DR","KEYSTONE HEIGHTS","FL","32656"
"09/10/2025","$45,412.50","7638 W ERINWOOD CT","JACKSONVILLE","FL","32256"
"09/10/2025","$11,820.30","1048 E 10TH ST","JACKSONVILLE","FL","32206"
"09/10/2025","$6,104.51","5676 VISTA VERDE ST","JACKSONVILLE","FL","32244"
"09/10/2025","$5,826.89","8943 OLD KINGS RD","JACKSONVILLE","FL","32219"
"09/10/2025","$6,018.85","7671 COACH PARK DR","JACKSONVILLE","FL","32244"
