"auction_date","auction_time","sold_to","sold_amount","opening_bid","assessed_value","surplus_amount","case_number","certificate_number","parcel_id","address","city","state","zip"
"08/14/2024","09:07 AM ET","3rd Party Bidder","$70,100.00","$4,181.17","$56,062.00","$65,918.83","2024-1247TD","07166-2022","053687-0000","1176 W 13TH ST","JACKSONVILLE","FL","32209"
"08/14/2024","09:07 AM ET","3rd Party Bidder","$70,100.00","$4,181.17","$56,062.00","$65,918.83","2024-1247TD","07166-2022","053687-0000","1176 W 13TH ST","JACKSONVILLE","FL","32209"
"08/14/2024","10:42 AM ET","3rd Party Bidder","$29,700.00","$1,904.56","$19,580.00","$27,795.44","2024-1336TD","02969-2022","022335-0000","PATTERSON AVE","JACKSONVILLE","FL","32219"
"08/14/2024","10:46 AM ET","3rd Party Bidder","$7,100.00","$1,882.68","$220.00","$5,217.32","2024-1337TD","03786-2022","029083-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:49 AM ET","3rd Party Bidder","$7,400.00","$1,897.11","$195.00","$5,502.89","2024-1338TD","03787-2022","029084-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:51 AM ET","3rd Party Bidder","$3,300.00","$1,577.58","$11,253.00","$1,722.42","2024-1340TD","11663-2022","111110-0000","EVRGREEN AVE","JACKSONVILLE","FL","32208"
"08/14/2024","10:59 AM ET","3rd Party Bidder","$17,200.00","$1,461.16","$8,482.00","$15,738.84","2024-1341TD","02840-2022","021563-0050","W RAILROAD AVE","JACKSONVILLE","FL","32219"
"08/14/2024","10:42 AM ET","3rd Party Bidder","$29,700.00","$1,904.56","$19,580.00","$27,795.44","2024-1336TD","02969-2022","022335-0000","PATTERSON AVE","JACKSONVILLE","FL","32219"
"08/14/2024","10:46 AM ET","3rd Party Bidder","$7,100.00","$1,882.68","$220.00","$5,217.32","2024-1337TD","03786-2022","029083-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:49 AM ET","3rd Party Bidder","$7,400.00","$1,897.11","$195.00","$5,502.89","2024-1338TD","03787-2022","029084-0000","NASH RD","JACKSONVILLE","FL","32209"
"08/14/2024","10:51 AM ET","3rd Party Bidder","$3,300.00","$1,577.58","$11,253.00","$1,722.42","2024-1340TD","11663-2022","111110-0000","EVRGREEN AVE","JACKSONVILLE","FL","32208"
"08/14/2024","10:59 AM ET","3rd Party Bidder","$17,200.00","$1,461.16","$8,482.00","$15,738.84","2024-1341TD","02840-2022","021563-0050","W RAILROAD AVE","JACKSONVILLE","FL","32219"
"08/14/2024","11:29 AM ET","3rd Party Bidder","$10,100.00","$1,641.69","$8,883.00","$8,458.31","2024-1361TD","04733-2022","037248-0000","9043 WASHINGTON AVE","JACKSONVILLE","FL","32208"
"08/14/2024","11:34 AM ET","3rd Party Bidder","$10,800.00","$3,161.69","$24,913.00","$7,638.31","2024-1362TD","03403-2022","026414-0000","7545 REED ST","JACKSONVILLE","FL","32208"
"08/14/2024","11:52 AM ET","3rd Party Bidder","$25,100.00","$1,545.37","$6,817.00","$23,554.63","2024-1369TD","02809-2022","021385-0000","0 MONCRIEF-DINSMORE","JACKSONVILLE","FL","32219"
"08/14/2024","11:58 AM ET","3rd Party Bidder","$11,600.00","$4,484.17","$5,381.00","$7,115.83","2024-1370TD","03389-2022","026355-0010","5778 OPREY ST","JACKSONVILLE","FL","32208"
