"auction_date","auction_time","sold_to","sold_amount","opening_bid","assessed_value","surplus_amount","case_number","certificate_number","parcel_id","address","city","state","zip"
"09/18/2024","10:06 AM ET","3rd Party Bidder","$20,010.00","$4,183.80","$68,501.00",15826.2,"2024-0307TD","22-3379","Not Found","8 DANIEL CT","Not Found","Not Found","Not Found"
"09/18/2024","10:11 AM ET","3rd Party Bidder","$14,110.00","$2,341.78","$3,291.00",11768.22,"2024-0314TD","21-3484","Not Found","11430 N CYNTHIA TER","Not Found","Not Found","Not Found"
"09/18/2024","10:20 AM ET","3rd Party Bidder","$15,130.00","$2,126.69","$3,820.00",13003.31,"2024-0325TD","22-1576","Not Found","3369 W GLOSTER PL","Not Found","Not Found","Not Found"
"09/18/2024","10:35 AM ET","3rd Party Bidder","$30,200.00","$3,550.37","$41,491.00",26649.63,"2024-0328TD","22-0060","Not Found","1782 W HIGH ACRES ST","Not Found","Not Found","Not Found"
"09/11/2024","09:47 AM ET","3rd Party Bidder","$86,550.00","$4,466.30","$58,564.00",82083.7,"2024-0027TD","2655/2022","380526-014921-000-00","0 FLORIDA ST","FLEMING ISLAND","FL","32003"
"09/11/2024","10:00 AM ET","3rd Party Bidder","$55,000.00","$5,029.37","$50,944.00",49970.63,"2024-0028TD","1438/2022","240524-006573-000-00","3673 COUNTY ROAD 218","MIDDLEBURG","FL","32068"
"09/11/2024","10:01 AM ET","3rd Party Bidder","$3,050.00","$2,751.44","$3,850.00",298.56,"2024-0040TD","2169/2017","140824-007120-000-00","7199 DOVE ST","FLORAHOME","FL","32140"
"09/11/2024","10:03 AM ET","3rd Party Bidder","$15,250.00","$1,982.19","$8,712.00",13267.81,"2024-0054TD","1873/2022","240823-007352-000-00","5468 LAREDO ST","KEYSTONE HEIGHTS","FL","32656"
"09/11/2024","10:21 AM ET","3rd Party Bidder","$50,850.00","$3,891.39","$55,255.00",46958.61,"2024-0070TD","1179/2022","090524-005953-724-00","254 DOLPHIN CIR","MIDDLEBURG","FL","32068"
"09/11/2024","09:02 AM ET","3rd Party Bidder","$90,200.00","$14,340.30","$148,643.00",75859.7,"2023-0833TD","08970-2021","070490-0000","816 N BROAD ST","JACKSONVILLE","FL","32202"
"09/11/2024","09:14 AM ET","3rd Party Bidder","$15,300.00","$2,012.12","$3,115.00",13287.88,"2024-1392TD","07398-2021","053067-0010","SCRIVEN ST","JACKSONVILLE","FL","32209"
"09/11/2024","09:30 AM ET","3rd Party Bidder","$8,100.00","$1,512.17","$1,190.00",6587.83,"2024-1395TD","14713-2022","156501-0000","JANSEN RD","JACKSONVILLE","FL","32257"
"09/11/2024","09:38 AM ET","3rd Party Bidder","$71,700.00","$6,139.59","$49,800.00",65560.41,"2024-1396TD","01346-2022","010426-0000","LE MANS DR","JACKSONVILLE","FL","32210"
"09/04/2024","09:02 AM CT","3rd Party Bidder","$1,500.00","$1,453.38","$500.00",46.6199999999999,"2019 TD 007161","07161","075N313301001001","8600 BLK BRATT RD 32535","CENTURY","FL","32535"
"09/10/2024","09:08 AM ET","3rd Party Bidder","$45,100.00","$3,150.36","$42,000.00",41949.64,"24-041 TDC","2022 / 1656","0711317064003700210","20LLEBERRY PATH","PALM COAST","FL","32164"
"09/10/2024","09:30 AM ET","3rd Party Bidder","$65,600.00","$4,818.25","$50,340.00",60781.75,"24-043 TDC","2022 / 333","1312281800012200100","3886SHADY LN","BUNNELL","FL","32110"
"09/10/2024","09:32 AM ET","3rd Party Bidder","$11,100.00","$3,429.67","$8,858.00",7670.33,"24-048 TDC","2017 / 819","1012300850008200030","N/A","BUNNELL","FL","32110"
"09/17/2024","11:01 AM ET","3rd Party Bidder","$1,550.00","$1,518.33","$1,132.00",31.6700000000001,"24-0004-TD","377.0000","090715-00770000-0040","OFF NW CR 138","BRANFORD","FL","32008"
"09/17/2024","11:10 AM ET","3rd Party Bidder","$19,450.00","$3,792.70","$22,570.00",15657.3,"24-0016-TD","890.0000","151016-05613340-0000","6660 SE 83 ST","TRENTON","FL","32693"
"09/11/2024","10:01 AM ET","3rd Party Bidder","$10,700.00","$1,241.35","$369.00",9458.65,"2024-028TD","18-0188900","R01 221 17 3357 5440 0140","EARLINE RD","WEEKI WACHEE","FL","34614"
"09/11/2024","10:02 AM ET","3rd Party Bidder","$3,700.00","$3,125.60","$2,973.00",574.4,"2024-031TD","18-0049200","R23 122 21 0890 0350 0260","COLDROCK DR","WEBSTER","FL","33597"
"09/11/2024","10:04 AM ET","3rd Party Bidder","$4,200.00","$2,980.36","$2,746.00",1219.64,"2024-033TD","18-0365500","R10 223 17 1420 0200 0100","LAS PALMAS AVE","SPRING HILL","FL","34606"
"09/11/2024","10:05 AM ET","3rd Party Bidder","$4,300.00","$3,270.39","$4,100.00",1029.61,"2024-035TD","18-0128600","R14 123 21 1282 0200 0070","DRENNEN ST","DADE CITY","FL","33523"
"09/11/2024","10:06 AM ET","3rd Party Bidder","$4,200.00","$3,186.44","$3,555.00",1013.56,"2024-036TD","18-0126200","R14 123 21 1260 00H0 0570","TIGER ST","DADE CITY","FL","33523"
"09/11/2024","10:09 AM ET","3rd Party Bidder","$3,500.00","$3,085.51","$2,786.00",414.49,"2024-037TD","18-0053500","R23 122 21 0890 0510 0160","CORAL ROCK DR","WEBSTER","FL","33597"
"09/11/2024","10:10 AM ET","3rd Party Bidder","$4,100.00","$3,183.30","$3,025.00",916.7,"2024-038TD","18-0324600","R21 222 19 2070 00G0 0160","OAKDALE AVE","BROOKSVILLE","FL","34601"
"09/11/2024","10:11 AM ET","3rd Party Bidder","$3,000.00","$2,900.78","$2,164.00",99.2199999999998,"2024-039TD","19-0024500","R21 122 20 0210 0060 0050","SHAN ST","BROOKSVILLE","FL","34601"
"09/11/2024","10:13 AM ET","3rd Party Bidder","$4,000.00","$3,086.08","$3,075.00",913.92,"2024-040TD","18-0128500","R14 123 21 1282 0200 0060","DRENNEN ST","DADE CITY","FL","33523"
"09/19/2024","10:10 AM ET","3rd Party Bidder","$50,200.00","$5,385.23","$77,904.00",44814.77,"2024-588","2022 / 9762","0943280500","LITHIA, FL- 33547","Not Found","Not Found","Not Found"
"09/10/2024","10:06 AM ET","3rd Party Bidder","$15,600.00","$2,968.25","$10,517.00",12631.75,"2024000041","17-003677","02-44-26-06-00054.0190","3416 69TH ST W","LEHIGH ACRES","FL","33971"
"09/10/2024","10:11 AM ET","3rd Party Bidder","$16,200.00","$2,438.35","$10,517.00",13761.65,"2024000045","21-003249","02-44-26-10-00097.0130","3122 71ST ST W","LEHIGH ACRES","FL","33971"
"09/10/2024","10:13 AM ET","3rd Party Bidder","$13,000.00","$2,493.55","$10,517.00",10506.45,"2024000046","21-003251","02-44-26-10-00097.0160","3128 71ST ST W","LEHIGH ACRES","FL","33971"
"09/10/2024","10:24 AM ET","3rd Party Bidder","$24,400.00","$3,440.82","$18,406.00",20959.18,"2024000048","18-003963","03-44-26-03-00015.0100","3744 HYDE PARK DR","FORT MYERS","FL","33905"
"09/10/2024","10:33 AM ET","3rd Party Bidder","$19,800.00","$2,695.64","$18,406.00",17104.36,"2024000049","20-004662","03-44-26-05-00025.0190","3709 KESSLER ST","FORT MYERS","FL","33905"
"09/17/2024","10:07 AM ET","3rd Party Bidder","$11,200.00","$2,434.91","$10,313.00",8765.09,"2024000168","20-023268","23-45-27-14-00023.0260","947 DERBY ST","LEHIGH ACRES","FL","33974"
"09/17/2024","10:15 AM ET","3rd Party Bidder","$14,800.00","$3,078.17","$10,313.00",11721.83,"2024000169","18-019685","23-45-27-05-00010.0020","739 BOBOLINK AVE","LEHIGH ACRES","FL","33974"
"09/18/2024","10:14 AM ET","3rd Party Bidder","$43,600.00","$5,026.95","$64,998.00",38573.05,"24-0015","2022-001887-00","212635A0030","1032 N WOODWARD AVE","Not Found","Not Found","Not Found"
"09/18/2024","10:23 AM ET","3rd Party Bidder","$73,100.00","$4,989.42","$48,184.00",68110.58,"24-0059","2022-003215-00","310740B0300","3021 S MERIDIAN ST","Not Found","Not Found","Not Found"
"09/17/2024","11:35 AM ET","3rd Party Bidder","$10,000.00","$2,230.36","$7,321.00",7769.64,"452024XX000023TDAXYX","1097","12-2N-27-1460-0261-0000","85039 MARBLEHEAD CT FERNANDINA","FERNANDINA BEACH","FL","32034"
"09/12/2024","10:09 AM ET","3rd Party Bidder","$265,500.00","$16,471.19","$255,067.00",249028.81,"2022-11862","","212429299203540","12552 MAJORAMA DR","ORLANDO","FL","32837"
"09/10/2024","11:02 AM ET","3rd Party Bidder","$2,500.00","$2,429.69","$702.00",70.3099999999999,"13032022","13032022","072732000011430000","HOLOPAW GROVES RD","SAINT CLOUD","FL","34773"
"09/10/2024","11:16 AM ET","3rd Party Bidder","$10,400.00","$2,250.02","$3,200.00",8149.98,"13252022","13252022","072732000031310000","HOLOPAW GROVES RD","SAINT CLOUD","FL","34773"
"09/11/2024","09:34 AM ET","3rd Party Bidder","$11,700.00","$2,510.43","Not Found",9189.57,"2024-1210TD","3244-2018","00-42-43-26-18-000-0420","W SCOTTSDALE RD","Not Found","Not Found","Not Found"
"09/19/2024","09:44 AM ET","3rd Party Bidder","$79,000.00","$2,907.35","$42,900.00",76092.65,"101552022","101552022","263136699252000320","LAUREL LN","FORT MEADE","FL","33841"
"09/19/2024","09:48 AM ET","3rd Party Bidder","$5,500.00","$845.20","$1,159.00",4654.8,"105452022","105452022","272617000000011060","DAVENPORT, FL- 33837","Not Found","Not Found","Not Found"
"09/19/2024","09:49 AM ET","3rd Party Bidder","$2,500.00","$792.05","$579.00",1707.95,"105462022","105462022","272617000000011070","DAVENPORT, FL- 33837","Not Found","Not Found","Not Found"
