"auction_date","opening_bid","address","city","state","zip"
"10/01/2024","$28,248.51","3919 NW 12TH DR","GAINESVILLE","FL","32609"
"10/01/2024","$12,953.59","20805 SE 162ND AVE","HAWTHORNE","FL","32640"
"10/08/2024","$5,503.67","931 NE 17TH ST","GAINESVILLE","FL","32641"
"10/08/2024","$5,692.32","14012 SE 174TH PL","HAWTHORNE","FL","32640"
"10/08/2024","$3,729.24","118 SE 24TH ST","GAINESVILLE","FL","32641"
"10/08/2024","$4,513.58","17939 DOUGLASS ST","HIGH SPRINGS","FL","32643"
"10/15/2024","$9,598.17","108 SW 8TH ST","MICANOPY","FL","32667"
"10/15/2024","$41,855.24","1411 SE 41ST AVE","GAINESVILLE","FL","32641"
"10/01/2024","$1,770.85","2917 BRADENTON AVE","PANAMA CITY","FL","32405"
"10/01/2024","$2,316.06","33 3S 14W AVE","PANAMA CITY","FL","32405"
"10/01/2024","$2,521.87","3 4S 14W -99.1A-","PANAMA CITY","FL","32401"
"10/01/2024","$2,060.94","704 REDWOOD","PANAMA CITY","FL","32401"
"10/01/2024","$2,182.61","812 MAPLE AVE","PANAMA CITY","FL","32401"
"10/01/2024","$7,648.21","20500 PC BCH PKWY","PANAMA CITY BEACH","FL","32413"
"10/08/2024","$1,220.28","13 1N 12W -34-","FOUNTAIN","FL","32438"
"10/08/2024","$28,549.19","1117 EVERITT AVE","PANAMA CITY","FL","32401"
"10/08/2024","$2,934.87","2709 7TH CT E","PANAMA CITY","FL","32401"
"10/08/2024","$1,873.01","MCKENZIE AVE","PANAMA CITY","FL","32401"
"10/08/2024","$18,517.59","813 12TH CT E","PANAMA CITY","FL","32401"
"10/08/2024","$2,086.99","1333 LINCOLN DR","PANAMA CITY","FL","32401"
"10/08/2024","$10,429.51","HELEN AVE","PANAMA CITY","FL","32401"
"10/22/2024","$1,429.36","630 8TH PL E","PANAMA CITY","FL","32401"
"10/22/2024","$6,938.40","1603 TYNDALL DR","PANAMA CITY","FL","32401"
"10/22/2024","$2,969.66","2601 6TH E","PANAMA CITY","FL","32401"
"10/22/2024","$5,163.30","2549 6TH ST E","PANAMA CITY","FL","32401"
"10/22/2024","$2,900.34","605 MAPLE AVE","PANAMA CITY","FL","32401"
"10/22/2024","$3,193.45","607 MAPLE AVE","PANAMA CITY","FL","32401"
"10/22/2024","$1,880.77","3809 2ND CT E","PANAMA CITY","FL","32401"
"10/22/2024","$1,680.31","3620 2ND ST E","PANAMA CITY","FL","32401"
"10/29/2024","$2,030.59","13705 EDITH HITE DR","FOUNTAIN","FL","32438"
"10/29/2024","$4,654.38","14240 HALLVILLE","YOUNGSTOWN","FL","32466"
"10/29/2024","$10,268.64","9900 HWY 2301","YOUNGSTOWN","FL","32466"
"10/29/2024","$4,085.54","6439 WOLFE LANE","YOUNGSTOWN","FL","32466"
"10/29/2024","$16,462.26","346 SPRING AVE","PANAMA CITY","FL","32401"
"10/29/2024","$2,129.34","613 POWELL AVE","PANAMA CITY","FL","32401"
"10/29/2024","$2,336.75","3116 2ND E","PANAMA CITY","FL","32401"
"10/29/2024","$2,202.62","237 JAMES N","PANAMA CITY","FL","32401"
"10/29/2024","$2,321.82","4515 HWY 98 BUS E","PANAMA CITY","FL","32404"
"10/29/2024","$1,425.91","1816 MOUND AVE","PANAMA CITY","FL","32405"
"11/05/2024","$3,106.93","NANDINA","FOUNTAIN","FL","32438"
"11/05/2024","$8,260.12","3901 8TH ST E","PANAMA CITY","FL","32404"
"11/05/2024","$8,811.80","1234 EAST AVE N","PANAMA CITY","FL","32401"
"11/05/2024","$5,950.33","706 CACTUS AVE","PANAMA CITY","FL","32401"
"11/05/2024","$4,942.65","1215 GRACE AVE","PANAMA CITY","FL","32401"
"11/05/2024","$1,669.67","1421 FORTUNE AVE","PANAMA CITY","FL","32401"
"11/05/2024","$2,418.30","1497 FLOWER AVE","PANAMA CITY","FL","32401"
"11/05/2024","$7,172.68","831 JENKS AVE","PANAMA CITY","FL","32401"
"11/05/2024","$2,175.73","17199 FRONT BEACH RD","PANAMA CITY BEACH","FL","32413"
"11/19/2024","$3,031.68","6844 SMITH RD","PANAMA CITY","FL","32404"
"11/19/2024","$1,609.79","8804 DOROTHY FARRIS RD","SOUTHPORT","FL","32409"
"11/19/2024","$2,263.89","2510 CANAL ST","LYNN HAVEN","FL","32444"
"11/19/2024","$12,765.28","2528 WAKULLA AVE","PANAMA CITY","FL","32405"
"11/19/2024","$4,582.48","1025 W 19TH ST #8C","PANAMA CITY","FL","32405"
"11/19/2024","$10,091.96","754 JENKS AVE","PANAMA CITY","FL","32401"
"11/19/2024","$4,582.77","405 MAINE AVENUE","PANAMA CITY","FL","32401"
"11/19/2024","$2,966.09","3607 2ND ST E","PANAMA CITY","FL","32401"
"11/19/2024","$3,695.26","317 HARLEM AVE","PANAMA CITY","FL","32401"
"11/19/2024","$26,964.98","158 DETROIT AVE","PANAMA CITY","FL","32401"
"11/26/2024","$2,553.29","12604 ERIN LEA LN","PANAMA CITY BEACH","FL","32407"
"11/26/2024","$8,330.75","9450 S THOMAS DR #1606D","PANAMA CITY BEACH","FL","32408"
"11/26/2024","$67,348.68","114 PALM BEACH UNIT C","PANAMA CITY BEACH","FL","32413"
"10/16/2024","$1,679.30","10148 W CALDONIA ST","HOMOSASSA","FL","34448"
"10/16/2024","$1,661.43","1971 W ANDROMEDAE DR","CITRUS SPRINGS","FL","34434"
"10/16/2024","$1,733.52","2587 W FAIRTREE LN","CITRUS SPRINGS","FL","34434"
"10/16/2024","$5,490.50","5240 S CHESTNUT TER","LECANTO","FL","34461"
"10/16/2024","$1,701.77","284 E FINLAND LN","CITRUS SPRINGS","FL","34434"
"10/16/2024","$4,210.73","7545 W AUTUMN ST","HOMOSASSA","FL","34446"
"10/16/2024","$1,667.11","9918 N SANTEE TER","CITRUS SPRINGS","FL","34433"
"10/16/2024","$2,668.20","4454 W HORSESHOE DR","BEVERLY HILLS","FL","34465"
"10/16/2024","$1,757.16","904 W BANCROFT DR","CITRUS SPRINGS","FL","34434"
"10/16/2024","$1,659.54","1843 W G MARTINELLI BLVD","CITRUS SPRINGS","FL","34434"
"10/09/2024","$5,108.13","141 PLANKTON AVE","MIDDLEBURG","FL","32068"
"10/09/2024","$12,902.21","2650 E PINEWOOD BLVD","MIDDLEBURG","FL","32068"
"10/09/2024","$5,581.22","1936 MILLER ST","ORANGE PARK","FL","32073"
"10/09/2024","$4,305.23","954 MCLAUGHLIN LN","MIDDLEBURG","FL","32068"
"10/09/2024","$5,293.55","5192 MALLARD RD","MIDDLEBURG","FL","32068"
"10/09/2024","$52,248.64","1211 SPRUCE ST","GREEN COVE SPRINGS","FL","32043"
"10/09/2024","$1,506.16","0 WALNUT ST","GREEN COVE SPRINGS","FL","32043"
"10/23/2024","$13,649.96","7945 RANCHETTE","MELROSE","FL","32666"
"10/23/2024","$2,359.26","0 DOE TRL","KEYSTONE HEIGHTS","FL","32656"
"10/23/2024","$5,330.79","7886 HONEYDEW CIR","MELROSE","FL","32666"
"10/23/2024","$1,342.90","5850 HILLRIDGE","KEYSTONE HEIGHTS","FL","32656"
"10/23/2024","$1,486.06","5500 JEFFERSON ST","KEYSTONE HEIGHTS","FL","32656"
"10/23/2024","$1,412.45","5387 LAREDO ST","KEYSTONE HEIGHTS","FL","32656"
"10/23/2024","$3,990.19","5800 SILVER SANDS CIR","KEYSTONE HEIGHTS","FL","32656"
"10/23/2024","$2,374.50","0 LEANING OAK DR","MELROSE","FL","32666"
"10/23/2024","$47,319.54","1274 CHEYENNE CT","ORANGE PARK","FL","32065"
"10/23/2024","$1,450.37","0 INDIAN ST","KEYSTONE HEIGHTS","FL","32656"
"11/06/2024","$1,032.17","0 BOOKER AVE","GREEN COVE SPRINGS","FL","32043"
"11/06/2024","$1,893.52","6267 DRAKE AVE","KEYSTONE HEIGHTS","FL","32656"
"11/06/2024","$17,405.40","4381 SADDLEHORN TRL","MIDDLEBURG","FL","32068"
"11/06/2024","$4,660.46","7000 WELLS","ORANGE PARK","FL","32073"
"11/06/2024","$2,021.64","7228 OXFORD ST","KEYSTONE HEIGHTS","FL","32656"
"11/06/2024","$1,403.81","7164 DOVE ST","FLORAHOME","FL","32140"
"11/06/2024","$1,326.79","0 BONDARENKO","KEYSTONE HEIGHTS","FL","32656"
"11/06/2024","$1,619.71","197 PEPPERMINT AVE","MIDDLEBURG","FL","32068"
"11/06/2024","$1,242.44","7219 CITADEL ST","KEYSTONE HEIGHTS","FL","32656"
"11/06/2024","$1,821.57","6298 LITTLE LAKE GENEVA","KEYSTONE HEIGHTS","FL","32656"
"10/16/2024","$2,784.38","868 JONES RD","JACKSONVILLE","FL","32220"
"10/16/2024","$12,980.74","10518 ANCHORAGE COVE LN","JACKSONVILLE","FL","32257"
"10/16/2024","$3,991.23","8112 WAXWING AVE","JACKSONVILLE","FL","32219"
"10/16/2024","$9,864.28","5511 HECKSCHER DR","JACKSONVILLE","FL","32226"
"10/16/2024","$1,382.14","0 W 27TH ST","JACKSONVILLE","FL","32209"
"10/16/2024","$999.02","8539 W GATE PKWY 721","JACKSONVILLE","FL","32216"
"10/16/2024","$1,050.10","8539 W GATE PKWY 729","JACKSONVILLE","FL","32216"
"10/16/2024","$1,050.10","8539 W GATE PKWY 728","JACKSONVILLE","FL","32216"
"10/16/2024","$1,013.97","8539 W GATE PKWY 735","JACKSONVILLE","FL","32216"
"10/16/2024","$9,751.13","2363 ERNEST ST","JACKSONVILLE","FL","32204"
"10/02/2024","$5,595.38","121 WARWICK AVE","PENSACOLA","FL","32503"
"10/02/2024","$5,043.33","3140 TORRES AVE 32503","PENSACOLA","FL","32503"
"10/02/2024","$42,941.35","11 WYOMING ST","PENSACOLA","FL","32505"
"10/02/2024","$3,742.41","7 WISCONSIN DR","PENSACOLA","FL","32505"
"10/02/2024","$62,021.51","263 AQUAMARINE","PENSACOLA","FL","32505"
"10/02/2024","$6,379.08","3410 W BOBE ST 32505","PENSACOLA","FL","32505"
"10/02/2024","$6,292.16","2123 N T ST","PENSACOLA","FL","32505"
"10/02/2024","$3,887.92","2518 N R ST 32505","PENSACOLA","FL","32505"
"10/02/2024","$2,720.83","2516 N Q ST","PENSACOLA","FL","32505"
"10/02/2024","$2,143.81","2311 N P ST","PENSACOLA","FL","32505"
"11/12/2024","$343.09","67 PRESIDENT LN","PALM COAST","FL","32164"
"11/12/2024","$1,088.01","N/A","FLAGLER BEACH","FL","32136"
"11/12/2024","$1,021.47","N/A","FLAGLER BEACH","FL","32136"
"11/12/2024","$3,598.72","14BOBBI LN","PALM COAST","FL","32137"
"11/12/2024","$2,627.88","N/A","BUNNELL","FL","32110"
"11/12/2024","$3,315.26","3131WATER OAK RD","BUNNELL","FL","32110"
"11/12/2024","$3,260.50","1FENWOOD LN","PALM COAST","FL","32137"
"11/12/2024","$3,275.18","30BECKNER LN","PALM COAST","FL","32137"
"12/10/2024","$4,269.56","6357MAHOGANY BLVD","BUNNELL","FL","32110"
"10/22/2024","$7,945.83","S MAIN ST","BELL","FL","32619"
"10/22/2024","$2,309.12","SW 80 CT","TRENTON","FL","32693"
"10/16/2024","$2,415.40","382 OAK AVE","WEWAHITCHKA","FL","32465"
"10/23/2024","$2,743.64","358 PINE AVE","WEWAHITCHKA","FL","32465"
"10/23/2024","$2,960.54","FREEMAN ROUSE RD","WEWAHITCHKA","FL","32465"
"10/10/2024","$24,713.02","614 BEVERLY DR","BRANDON","FL","33510"
"10/10/2024","$57,830.72","10800 N 52ND ST","TEMPLE TERRACE","FL","33617"
"10/10/2024","$31,201.38","713 CLAYTON ST","BRANDON","FL","33511"
"10/17/2024","$74,618.29","10908 N ASTER AVE","TAMPA","FL","33612"
"10/17/2024","$8,509.36","7920 TIDEWATER TRL","TAMPA","FL","33619"
"10/17/2024","$23,226.53","13725 HOBSON SIMMONS RD","LITHIA","FL","33547"
"10/17/2024","$4,555.93","303 E WELLINGTON CT","TAMPA","FL","33604"
"10/17/2024","$152,458.37","1407 E DR MARTIN LUTHER KING J","PLANT CITY","FL","33563"
"10/17/2024","$18,093.12","10405 LILLYCREST PL","GIBSONTON","FL","33534"
"10/17/2024","$7,159.43","907 N PALM DR","PLANT CITY","FL","33563"
"10/24/2024","$108,997.75","6807 RIVER RD","TAMPA","FL","33615"
"10/24/2024","$38,512.79","5115 E 17TH AVE","TAMPA","FL","33619"
"10/24/2024","$111,913.13","302 YORK DALE DR","RUSKIN","FL","33570"
"10/24/2024","$42,429.31","9310 N MARY AVE","TAMPA","FL","33612"
"10/24/2024","$12,612.55","4903 REAGAN AVE","SEFFNER","FL","33584"
"10/24/2024","$43,620.72","3208 LAUREL LN","PLANT CITY","FL","33566"
"10/24/2024","$127,694.28","805 DEWOLF RD","BRANDON","FL","33511"
"10/24/2024","$10,553.13","300 FLAMINGO DR","APOLLO BEACH","FL","33572"
"10/24/2024","$16,158.25","12720 BULLFROG CREEK RD","GIBSONTON","FL","33534"
"10/31/2024","$7,794.79","917 E 11TH AVE","TAMPA","FL","33605"
"10/31/2024","$10,065.92","12219 HAZEN AVE","THONOTOSASSA","FL","33592"
"10/31/2024","$172,585.92","7304 36TH AVE S","TAMPA","FL","33619"
"10/31/2024","$21,655.40","6128 SKYLARKCREST DR","LITHIA","FL","33547"
"10/31/2024","$23,895.99","10001 MARTIN BOWDEN RD","GIBSONTON","FL","33534"
"10/31/2024","$7,755.58","12712 N 20TH ST","TAMPA","FL","33612"
"11/07/2024","$17,604.87","4427 W VARN AVE","TAMPA","FL","33616"
"11/07/2024","$95,063.96","1106 SW 10TH ST","RUSKIN","FL","33570"
"11/07/2024","$28,098.39","307 HILLSIDE DR","SEFFNER","FL","33584"
"11/07/2024","$5,501.21","5541 JOE KING RD","PLANT CITY","FL","33567"
"11/07/2024","$7,095.35","9213 TUDOR DR","TAMPA","FL","33615"
"11/07/2024","$7,118.04","9907 CONNECTICUT ST","GIBSONTON","FL","33534"
"11/07/2024","$9,282.24","4221 W SPRUCE ST 1421","TAMPA","FL","33607"
"11/07/2024","$32,269.25","12006 LEGACY BRIGHT ST","RIVERVIEW","FL","33578"
"11/07/2024","$17,157.47","934 W WHEELER RD","BRANDON","FL","33510"
"11/14/2024","$15,469.49","449 COUNTRY VINEYARD DR","VALRICO","FL","33594"
