"auction_date","opening_bid","address","city","state","zip"
"10/28/2025","$7,434.80","825 SW 60TH TER","GAINESVILLE","FL","32607"
"11/04/2025","$12,214.05","1823 NE 31ST AVE","GAINESVILLE","FL","32609"
"11/04/2025","$9,393.44","14425 NW 138TH TER","ALACHUA","FL","32615"
"11/04/2025","$27,336.67","2448 ARDEN DR","GAINESVILLE","FL","32605"
"11/18/2025","$6,694.36","10616 NE 76TH TER","GAINESVILLE","FL","32609"
"11/18/2025","$6,285.50","20431 NE 6TH ST","GAINESVILLE","FL","32609"
"12/09/2025","$8,612.77","6104 NW 268TH TER","HIGH SPRINGS","FL","32643"
"10/21/2025","$6,022.70","3906 WAVE AVE","PANAMA CITY","FL","32404"
"10/21/2025","$4,764.05","2420 E 2ND PLZ","PANAMA CITY","FL","32401"
"10/21/2025","$7,474.58","4117 W 20TH CT","PANAMA CITY","FL","32405"
"10/21/2025","$6,435.23","8129 SUNSET AVE","PANAMA CITY BEACH","FL","32408"
"10/28/2025","$2,892.57","9200 HWY 2301","YOUNGSTOWN","FL","32466"
"10/28/2025","$46,883.51","882 E BAYHEAD CT","YOUNGSTOWN","FL","32466"
"10/28/2025","$5,579.66","7638 SWEETBRIAR RD","PANAMA CITY","FL","32404"
"10/28/2025","$3,057.07","407 HILL DR","PANAMA CITY","FL","32404"
"11/04/2025","$5,935.78","20408 ROSS RD","FOUNTAIN","FL","32438"
"11/04/2025","$34,738.80","8811 CHEROKEE ST","YOUNGSTOWN","FL","32466"
"11/04/2025","$9,757.67","11131 SEAMANS LN","PANAMA CITY","FL","32404"
"11/04/2025","$7,364.99","930 PIERSON W","LYNN HAVEN","FL","32444"
"11/18/2025","$3,811.48","925 SCHOOL AVE","PANAMA CITY","FL","32401"
"11/18/2025","$4,496.34","2142 E 8TH CT","PANAMA CITY","FL","32401"
"11/18/2025","$7,812.55","904 MAPLE AVE","PANAMA CITY","FL","32401"
"11/18/2025","$25,961.33","1115 HARMON AVE","PANAMA CITY","FL","32401"
"11/18/2025","$4,994.57","604 E 7TH CT","PANAMA CITY","FL","32401"
"11/25/2025","$2,317.53","10514 ALEX DR","FOUNTAIN","FL","32438"
"11/25/2025","$2,357.55","11922 TAMMY PITTS RD","FOUNTAIN","FL","32438"
"11/25/2025","$2,177.26","6802 REBEKAH LN A","YOUNGSTOWN","FL","32466"
"11/25/2025","$3,103.05","9327 JODY LANE","YOUNGSTOWN","FL","32466"
"11/25/2025","$2,185.60","6520 BOLIVIA ST","YOUNGSTOWN","FL","32466"
"11/25/2025","$1,466.24","6038 SAGE BRUSH DR","PANAMA CITY","FL","32404"
